"espèce source",interaction,"espèce cible",commentaire,détail
absinthe,repousse,limaces,,
absinthe,repousse,altises,,
"achillée millefeuille",favorise,framboisier,,
"achillée millefeuille",favorise,romarin,,
"achillée millefeuille",favorise,maïs,,
"achillée millefeuille",défavorise,rue,,
agrumes,favorise,lavande,,
agrumes,favorise,tanaisie,,
agrumes,favorise,absinthe,,
agrumes,favorise,"oeillets d'inde",,
agrumes,favorise,"rosier d'inde",,
ail,favorise,pêcher,,
ail,favorise,pommier,,
ail,favorise,poirier,,
ail,favorise,prunier,,
ail,favorise,chicorée,,
ail,favorise,pissenlit,,
ail,favorise,topinambour,,
ail,favorise,tomate,,
ail,favorise,fraisier,,
ail,favorise,framboisier,,
ail,favorise,rosier,,
ail,défavorise,choux,,
ail,défavorise,"pomme de terre",,
ail,défavorise,haricot,,
ail,défavorise,pois,,
ail,défavorise,soucis,,
ail,défavorise,artichaut,,
ail,défavorise,asperge,,
ail,repousse,campagnols,,
altises,défavorise,choux,,
altises,défavorise,chou-fleur,,
altises,défavorise,chou-rave,,
altises,défavorise,chou-rouge,,
altises,défavorise,radis,,
altises,défavorise,navet,,
altises,défavorise,moutarde,,
amarante,attire,carabes,,
amarante,défavorise,mâche,,
aneth,favorise,choux,,
aneth,favorise,concombre,,
aneth,favorise,cornichon,,
aneth,favorise,bette,,
aneth,favorise,laitue,,
aneth,favorise,oignon,,
aneth,défavorise,carotte,,
aneth,repousse,pucerons,,
angélique,attire,chrysopes,,
angélique,attire,coccinelles,,
angélique,défavorise,aneth,,
angélique,défavorise,céleri,,
angélique,défavorise,betterave,,
anis,favorise,coriandre,,
anis,défavorise,absinthe,,
araignées,repousse,pucerons,,
artichaut,favorise,choux,,
artichaut,favorise,laitue,,
artichaut,favorise,épinard,,
artichaut,favorise,persil,,
artichaut,favorise,capucine,,
artichaut,favorise,poireau,,
artichaut,défavorise,ail,,
artichaut,attire,bourdons,,
asperge,favorise,"pomme de terre",,
asperge,favorise,concombre,,
asperge,favorise,persil,,
asperge,favorise,tomate,,
asperge,favorise,cornichon,,
asperge,favorise,poireau,,
asperge,favorise,pois,,
asperge,favorise,courges,,
asperge,favorise,basilic,,
asperge,favorise,"rosier d'inde",,
asperge,favorise,capucine,,
asperge,défavorise,menthe,,
asperge,défavorise,betterave,,
asperge,défavorise,bette,,
asperge,défavorise,chicorée,,
asperge,défavorise,oignon,,
asperge,défavorise,ail,,
asperge,défavorise,ciboulette,,
baguenaudier,défavorise,pommier,,
basilic,favorise,tomate,,
basilic,favorise,piment,,
basilic,favorise,concombre,,
basilic,favorise,cornichon,,
basilic,favorise,courges,,
basilic,favorise,melon,,
basilic,favorise,choux,,
basilic,favorise,fève,,
basilic,favorise,courgette,,
basilic,favorise,fenouil,,
basilic,favorise,asperge,,
basilic,défavorise,rue,,
basilic,défavorise,absinthe,,
basilic,repousse,nématodes,,
basilic,repousse,pucerons,,
betterave,favorise,laitue,,
betterave,favorise,céleri,,
betterave,favorise,coriandre,,
betterave,favorise,panais,,
betterave,défavorise,tomate,,
betterave,défavorise,angélique,,
betterave,défavorise,asperge,,
betterave,défavorise,épinard,,
betterave,défavorise,poireau,,
betterave,défavorise,maïs,,
bourrache,attire,syrphes,,
bourrache,attire,bourdons,,
bourrache,repousse,limaces,,
bourrache,favorise,fraisier,,
bourrache,favorise,haricot,,
buis,repousse,campagnols,,
"camomille allemande",attire,coccinelles,,
"camomille allemande",repousse,nématodes,,
"camomille allemande",favorise,choux,,
"camomille allemande",favorise,oignon,,
"camomille allemande",favorise,pois,,
"camomille allemande",favorise,"pomme de terre",,
"camomille allemande",défavorise,rue,,
"camomille allemande",repousse,pucerons,,
campagnols,défavorise,carotte,,
campagnols,défavorise,panais,,
capucine,repousse,pucerons,,
carabes,repousse,limaces,,
carotte,favorise,poireau,,
carotte,favorise,ail,,
carotte,favorise,oignon,,
carotte,favorise,échalote,,
carotte,favorise,ciboulette,,
carotte,favorise,betterave,,
carotte,favorise,pois,,
carotte,favorise,radis,,
carotte,favorise,laitue,,
carotte,favorise,roquette,,
carotte,favorise,panais,,
carotte,favorise,tomate,,
carotte,favorise,haricot,,
carotte,favorise,piment,,
carotte,favorise,lin,,
carotte,favorise,romarin,,
carotte,favorise,sauge,,
carotte,favorise,absinthe,,
carotte,favorise,coriandre,,
carotte,défavorise,aneth,,
carotte,défavorise,maïs,,
carotte,défavorise,bette,,
carotte,attire,carabes,,
carotte,défavorise,"carotte sauvage",,
carotte,repousse,"thrips de l'oignon",,
carotte,repousse,"teigne du poireau",,
"carotte sauvage",favorise,choux,,
"carotte sauvage",défavorise,carotte,,
cassis,favorise,ciboulette,,
cassis,favorise,absinthe,,
cassis,favorise,tanaisie,,
cassis,favorise,carotte,,
cassis,favorise,oignon,,
cassis,favorise,navet,,
cassis,défavorise,maïs,,
céleri,favorise,choux,,
céleri,favorise,poireau,,
céleri,favorise,fenouil,,
céleri,favorise,tomate,,
céleri,favorise,haricot,,
céleri,favorise,pois,,
céleri,favorise,bette,,
céleri,favorise,betterave,,
céleri,favorise,courgette,,
céleri,favorise,courges,,
céleri,favorise,potiron,,
céleri,défavorise,maïs,,
céleri,défavorise,persil,,
céleri,défavorise,laitue,,
céleri,défavorise,angélique,,
cerfeuil,favorise,radis,,
cerfeuil,favorise,laitue,,
cerfeuil,favorise,choux,,
cerfeuil,favorise,chicorée,,
cerfeuil,repousse,fourmis,,
cerfeuil,repousse,limaces,,
cerfeuil,repousse,escargots,,
cerfeuil,repousse,pucerons,,
cerisier,favorise,raifort,,
cerisier,favorise,rue,,
chanvre,repousse,courtilières,,
chicorée,favorise,épinard,,
chicorée,favorise,roquette,,
chicorée,favorise,soucis,,
chicorée,défavorise,choux,,
chicorée,défavorise,asperge,,
chicorée,défavorise,navet,,
chicorée,repousse,campagnols,,
choux,défavorise,chicorée,,
choux,défavorise,fraisier,,
choux,défavorise,poireau,,
choux,défavorise,radis,,
choux,défavorise,maïs,,
choux,défavorise,mâche,,
choux,défavorise,fenouil,,
choux,défavorise,cresson,,
choux,défavorise,courgette,,
choux,défavorise,origan,,
choux,défavorise,piment,,
choux,favorise,aneth,,
choux,favorise,céleri,,
choux,favorise,haricot,,
choux,favorise,moutarde,,
choux,favorise,romarin,,
choux,favorise,tomate,,
choux,favorise,absinthe,,
choux,favorise,cosmos,,
choux,favorise,sauge,,
choux,favorise,thym,,
choux,favorise,laitue,,
choux,favorise,épinard,,
choux,favorise,"oeillets d'inde",,
choux,favorise,capucine,,
choux,favorise,"pomme de terre",,
choux,favorise,fève,,
choux,favorise,pois,,
choux,favorise,"mélisse citronnelle",,
choux,favorise,coriandre,,
choux,favorise,potiron,,
choux,favorise,chicorée,impossible,
choux,favorise,cerfeuil,,
choux,favorise,cumin,,
choux,favorise,"camomille allemande",,
choux,favorise,bette,,
choux,favorise,basilic,,
choux,favorise,artichaut,,
choux,favorise,"carotte sauvage",,
choux,favorise,coquelicot,,
choux,favorise,panais,,
choux,favorise,"trèfle blanc",,
choux,favorise,phacélie,,
choux,favorise,"matricaire inodore",,
choux,favorise,"achillée millefeuille",,
choux,favorise,ray-grass,,
choux,favorise,sarrasin,,
chrysopes,repousse,pucerons,,
ciboulette,favorise,carotte,,
ciboulette,favorise,pommier,,
ciboulette,favorise,pêcher,,
ciboulette,favorise,groseillier,,
ciboulette,favorise,"rosier d'inde",,
ciboulette,favorise,cassis,,
ciboulette,favorise,fraisier,,
ciboulette,favorise,concombre,,
ciboulette,favorise,courges,,
ciboulette,défavorise,asperge,,
ciboulette,défavorise,radis,,
ciboulette,défavorise,haricot,,
"ciboulette chinoise",favorise,tomate,,
"ciboulette chinoise",favorise,"pomme de terre",,
concombre,favorise,tomate,,
coriandre,favorise,choux,,
coriandre,favorise,carotte,,
coriandre,favorise,pois,,
coriandre,favorise,betterave,,
coriandre,favorise,concombre,,
coriandre,favorise,"pomme de terre",,
coriandre,favorise,anis,,
coriandre,défavorise,fenouil,,
coriandre,défavorise,sauge,,
coriandre,repousse,pucerons,,
cosmos,favorise,choux,,
cosmos,favorise,tomate,,
cosmos,repousse,nématodes,,
cosmos,attire,araignées,,
cosmos,attire,coccinelles,,
courges,favorise,haricot,,
courges,favorise,asperge,,
courges,favorise,céleri,,
courges,favorise,choux,,
courges,favorise,laitue,,
courges,favorise,mâche,,
courges,favorise,pois,,
courges,favorise,oignon,,
courges,favorise,basilic,,
courges,favorise,ciboulette,,
courges,favorise,coriandre,,
courges,favorise,origan,,
courges,favorise,capucine,,
courges,favorise,tanaisie,,
courges,favorise,tournesol,,
courges,défavorise,radis,,
courges,défavorise,fenouil,,
courgette,défavorise,haricot,,
cresson,favorise,poireau,,
cresson,favorise,radis,,
cresson,défavorise,choux,,
cresson,repousse,campagnols,,
cresson,repousse,pucerons,,
cresson,repousse,chenilles,,
cresson,repousse,fourmis,,
cresson,repousse,escargots,,
cumin,favorise,choux,,
cumin,favorise,pois,,
cumin,favorise,fenouil,,
cumin,favorise,absinthe,,
cumin,favorise,tomate,,
doryphores,défavorise,"pomme de terre",,
échalote,défavorise,choux,,
échalote,défavorise,haricot,,
échalote,défavorise,pois,,
échalote,favorise,carotte,,
épinard,favorise,choux,,
épinard,favorise,rosier,,
épinard,favorise,artichaut,,
épinard,favorise,chicorée,,
épinard,favorise,fraisier,,
épinard,favorise,haricot,,
épinard,favorise,navet,,
épinard,favorise,salsifis,,
épinard,favorise,radis,,
fenouil,favorise,céleri,,
fenouil,favorise,poireau,,
fenouil,favorise,basilic,,
fenouil,défavorise,tomate,,
fenouil,défavorise,absinthe,,
fenouil,défavorise,concombre,,
fenouil,défavorise,piment,,
fenouil,défavorise,épinard,,
fenouil,défavorise,haricot,,
fenouil,défavorise,courges,,
fenouil,défavorise,soucis,,
fenouil,défavorise,navet,,
fenouil,défavorise,choux,,
fenouil,défavorise,coriandre,,
fenouil,défavorise,cumin,,
fenouil,attire,araignées,,
fenouil,attire,syrphes,,
fenouil,attire,papillons,,
fenouil,repousse,pucerons,,
fenouil,repousse,lièvres,,
fève,favorise,choux,,
fève,favorise,"pomme de terre",,
fève,favorise,maïs,,
fève,favorise,laitue,,
fève,favorise,sarriette,,
fève,favorise,basilic,,
fève,défavorise,oignon,,
fraisier,favorise,poireau,,
fraisier,favorise,ail,,
fraisier,favorise,ciboulette,,
fraisier,favorise,oignon,,
fraisier,favorise,pêcher,,
fraisier,défavorise,choux,,
framboisier,favorise,soucis,,
framboisier,favorise,ail,,
framboisier,favorise,prunier,,
framboisier,favorise,"achillée millefeuille",,
framboisier,favorise,rue,,
framboisier,favorise,tanaisie,,
framboisier,défavorise,myrtille,,
framboisier,défavorise,ronce,,
"fusain d'europe",attire,coccinelles,,
"fusain d'europe",attire,chrysopes,,
genêt,favorise,radis,,
genêt,repousse,altises,,
genévrier,attire,coccinelles,,
